"Block","Trial","Arrow","Condition","Correct","RT","subj_num","Time","Task"
1,107,2,0,1,0.45584,1,1,"Flanker"
1,108,1,0,1,0.44548,1,1,"Flanker"
1,109,2,0,1,0.44288,1,1,"Flanker"
1,110,1,2,1,0.44787,1,1,"Flanker"
1,111,2,1,1,0.34899,1,1,"Flanker"
1,112,2,0,1,0.39861,1,1,"Flanker"
1,113,1,0,1,0.35429,1,1,"Flanker"
1,114,1,1,1,0.39906,1,1,"Flanker"
1,115,1,2,1,0.41134,1,1,"Flanker"
1,116,2,1,1,0.38192,1,1,"Flanker"
1,117,2,2,1,0.51463,1,1,"Flanker"
1,118,2,2,0,0.43327,1,1,"Flanker"
1,119,1,2,1,0.38959,1,1,"Flanker"
1,120,1,0,1,0.45609,1,1,"Flanker"
1,121,2,2,1,0.43033,1,1,"Flanker"
1,122,1,1,1,0.40472,1,1,"Flanker"
1,123,1,1,1,0.66528,1,1,"Flanker"
1,124,1,2,1,0.60256,1,1,"Flanker"
1,125,1,1,1,0.42576,1,1,"Flanker"
1,126,1,0,1,0.40699,1,1,"Flanker"
1,127,2,0,0,0.27496,1,1,"Flanker"
1,128,1,1,1,0.4206,1,1,"Flanker"
1,129,1,1,1,0.36188,1,1,"Flanker"
1,130,2,2,1,0.40338,1,1,"Flanker"
1,131,1,0,1,0.34463,1,1,"Flanker"
1,132,2,0,1,0.34576,1,1,"Flanker"
1,133,1,1,1,0.40658,1,1,"Flanker"
1,134,2,1,1,0.33806,1,1,"Flanker"
1,135,1,2,1,0.59625,1,1,"Flanker"
1,136,1,1,1,0.5243,1,1,"Flanker"
1,137,2,1,1,0.41222,1,1,"Flanker"
1,138,1,0,1,0.3929,1,1,"Flanker"
1,139,1,2,1,0.48426,1,1,"Flanker"
1,140,1,2,1,0.4256,1,1,"Flanker"
1,141,1,1,1,0.3978,1,1,"Flanker"
1,142,1,2,1,0.50539,1,1,"Flanker"
1,143,2,2,1,0.5467,1,1,"Flanker"
1,144,1,0,1,0.41848,1,1,"Flanker"
2,1,1,0,1,0.66349,1,1,"Flanker"
2,2,1,1,1,0.42519,1,1,"Flanker"
2,3,1,1,1,0.40828,1,1,"Flanker"
2,4,1,2,0,0.45265,1,1,"Flanker"
2,5,2,1,1,0.43468,1,1,"Flanker"
2,6,2,0,1,0.42117,1,1,"Flanker"
2,7,2,2,1,0.57724,1,1,"Flanker"
2,8,1,0,1,0.44954,1,1,"Flanker"
2,9,2,2,1,0.38241,1,1,"Flanker"
2,10,1,2,1,0.39384,1,1,"Flanker"
2,11,2,0,1,0.37432,1,1,"Flanker"
2,12,2,0,1,0.42517,1,1,"Flanker"
2,13,1,1,0,0.42152,1,1,"Flanker"
2,14,1,0,1,0.46524,1,1,"Flanker"
2,15,2,2,1,0.44084,1,1,"Flanker"
2,16,1,1,1,0.46876,1,1,"Flanker"
2,17,1,2,1,0.6664,1,1,"Flanker"
2,18,2,1,1,0.41379,1,1,"Flanker"
2,19,2,2,1,0.52055,1,1,"Flanker"
2,20,2,0,1,0.37493,1,1,"Flanker"
2,21,1,0,1,0.4293,1,1,"Flanker"
2,22,1,0,1,0.42464,1,1,"Flanker"
